lambda,species,type
1033.82,OVI,Emission
1215.24,Ly alpha,Emission
1240.81,NV,Emission
1305.53,OI,Emission
1335.31,CII,Emission
1397.61,SiIV,Emission
1399.8,SiIV+ OIV,Emission
1549.48,CIV,Emission
1640.4,HeII,Emission
1665.85,OIII,Emission
1857.4,AlIII,Emission
1908.734,CIII,Emission
2326,CII,Emission
2439.5,NeIV,Emission
2799.12,MgII,Emission
3346.79,NeV,Emission
3426.85,NeVI,Emission
3727.09,OII,Emission
3729.88,OII,Emission
3889,HeI,Emission
4072.3,SII,Emission
4102.89,H delta,Emission
4341.68,H gamma,Emission
4364.44,OIII,Emission
4862.68,H beta,Emission
4932.6,OIII,Emission
4960.3,OIII,Emission
5008.24,OIII,Emission
6302.05,OI,Emission
6365.54,OI,Emission
6529.03,NI,Emission
6549.86,NII,Emission
6564.61,H alpha,Emission
6585.27,NII,Emission
6718.29,SII,Emission
6732.67,SII,Emission
3934.78,K,Absorption
3969.59,H,Absorption
4305.61,G,Absorption
5176.7,Mg,Absorption
5895.6,Na,Absorption
8500.36,CaII,Absorption
8544.44,CaII,Absorption
8664.52,CaII,Absorption
5578.5,Sky,Sky
5894.6,Sky,Sky
6301.7,Sky,Sky
7246,Sky,Sky
