mask,slit_no,obj,c2020_id,ypix_mospy,mospy_notes,pypeit_notes,wp,mia,keep,confidence,cquality,zguess,zmeasured,wave,ypix_slit,photoz,photoz_source,MUV,serendip_ra,serendip_dec,pypeit_ref_idx,pypeit_slit,                    pypeit_name , maskdef_id ,     objra ,  objdec , spat_pixpos , spat_fracpos , box_width , opt_fwhm ,   s2n , maskdef_extract 
wmmc01,1,                 M_WP551495 ,551495,2219,"l@11090?onsky,l@10263?","nl,nc",1,,,1,0,7.43,7.442,10263,24,,c2020,,,,34,1504, SPAT1504-SLIT1504-DET01 ,1,150.19379,2.17021,1504,0.481,1,0.3,0.03,            True 
wmmc01,2,                 B_WP450980 ,450980,2166,"l@9839?weirdshape,l@10629?","nl,nc",1,,,1,-1,7.09,7.095,9839,21,,c2020,,,,33,1466, SPAT1468-SLIT1466-DET01 ,2,150.18992,2.16204,1468,0.552,1,0.3,0.04,            True 
wmmc01,4,                 L_WP693466 ,693466,2050,l@10001?onsky,"nl,nc",1,,0,0,-1,7.22,7.23,10001,,,c2020,,,,30,1380, SPAT1385-SLIT1380-DET01 ,4,150.18879,2.18037,1385,0.612,1,0.3,0.26,            True 
wmmc01,6,                 L_WP930991 ,930991,,"nl,nc","l@[1297,942]?,l@[1293,162]?",1,,0,0,-1,7.3,,10093,45,,c2020,,,,28,1293, SPAT1294-SLIT1293-DET01 ,6,150.18792,2.20266,1294,0.536,1,0.3,-0.01,            True 
wmmc01,11,                 CAND_M8502 ,,1581,"l@9871?,l@10031?LOWZ","nl,nc",1,,,-1,1,7.25,7.2514,10031,22,,ccand,,,,23,1060, SPAT1061-SLIT1060-DET01 ,11,150.17275,2.20622,1061,0.536,1,0.3,0.13,            True 
wmmc01,13,                 L_WP737150 ,737150,,"nl,nc","nl,nc",1,,0,0,-1,,,,,,c2020,,,,21,973, SPAT0981-SLIT0973-DET01 ,13,150.16221,2.18237,981,0.66,1,0.3,-0.14,            True 
wmmc01,14,                 CAND_L4510 ,,,"nl,nc","nl,nc",1,,0,0,-1,,,,,,ccand,,,,20,913, SPAT0916-SLIT0913-DET01 ,14,150.1585,2.18811,916,0.56,1,0.3,-0.02,            True 
wmmc01,17,                 B_WP547670 ,547670,1119,"fc,l@9941?",fc,1,,,0,-1,7.18,7.175,9941,39,,c2020,,,,17,755, SPAT0752-SLIT0755-DET01 ,17,150.144,2.17722,752,0.44,1,0.3,-0.14,            True 
wmmc01,18,                 CAND_M5825 ,,1041,"l@9916?onsky,l@11098?11103?doublet?","nl,nc",1,,,1,0,8.12,8.133,11098,19,,ccand,,,,16,706, SPAT0705-SLIT0706-DET01 ,18,150.14462,2.19378,705,0.464,1,0.3,0.08,            True 
wmmc01,19,                 B_WP493215 ,493215,955,"l@10861??onsky,l@10270??","nl,nc",1,,,0,-1,,,,,,c2020,,,,15,657, SPAT0650-SLIT0657-DET01 ,19,150.13596,2.17377,650,0.36,1,0.3,0,            True 
wmmc01,20,                 CAND_L8232 ,,,l@10885?onstarSERENDIP?,"nl,nc",1,,,1,1,7.96,7.955,10885,41,,ccand,,,,14,596, SPAT0601-SLIT0596-DET01 ,20,150.13979,2.20466,601,0.588,1,0.3,0.23,            True 
wmmc01,21,                 B_WP567863 ,567863,770,"l@11184?,cmc:l@11105?","l@[533,901]",1,,,1,1,8.19,8.2045,11184,34,,c2020,,,,12,536, SPAT0533-SLIT0536-DET01 ,21,150.12838,2.17846,533,0.44,1,0.3,0.33,            True 
wmmc01,22,                 CAND_M9262 ,,686,"l@10644?onsky,cmc:l@9995?","nl,nc",1,,0,0,0,7.22,7.2218,10644,30,,ccand,,,,11,476, SPAT0471-SLIT0476-DET01 ,22,150.13075,2.20911,471,0.4,1,0.3,-0.03,            True 
wmmc01,25,                 B_WP143124 ,143124,494,fc,"fc,l@[338,218]?",1,,0,0,-1,,,,,,c2020,,,,8,341, SPAT0345-SLIT0341-DET01 ,25,150.12446,2.21732,345,0.58,1,0.3,0.02,            True 
wmmc01,27,                CAND_B10404 ,10404,,"nl,nc","nl,nc",1,,0,0,-1,,,,,,c2020,,,,6,244, SPAT0240-SLIT0244-DET01 ,27,150.11613,2.21427,240,0.42,1,0.3,0.26,            True 
wmmc01,28,                 CAND_L4631 ,,278,l@10141?,"nl,nc",1,,,1,1,7.34,7.341,10141,29,,ccand,,,,5,196, SPAT0197-SLIT0196-DET01 ,28,150.10725,2.1887,197,0.556,1,0.3,-0.08,            True 
wmmc01,29,                 CAND_L9078 ,,228,l@9802?onsky,"l@[156,38]?",1,,0,0,-1,7.07,,9812,38,,ccand,,,,4,158, SPAT0159-SLIT0158-DET01 ,29,150.10946,2.20816,159,0.536,1,0.3,-0.27,            True 
wmmc01,30,                 CAND_L7135 ,,,"nl,nc","nl,nc",1,,0,0,-1,,,,,,ccand,,,,3,110, SPAT0103-SLIT0110-DET01 ,30,150.10321,2.19955,103,0.367,1,0.3,0.09,            True 
wmmc01,31,                 CAND_B4151 ,,82,"l@10513?onsky,l@9803?,l@10700?","l@[65,951]?",1,,??,0,-1,-1,,9803,25,,ccand,,,,2,62, SPAT0064-SLIT0062-DET01 ,31,150.09754,2.18601,64,0.593,1,0.3,-0.05,            True 
wmmc02,1,CAND_L26533,,,l@10609?,,1,,0,0,-1,,,,,,,,,,,1531,SPAT1533-SLIT1531-DET01,1,150.10992,2.29128,1533,0.54,1,0.5,0.26,TRUE
wmmc02,2,CAND_L24736,,2144,"l@9986,l@10736?",,1,,,1,-1,7.21,7.217,9986,21,,ccand,,,,,1482,SPAT1482-SLIT1482-DET01,2,150.09358,2.28335,1482,0.5,1,0.5,-0.01,TRUE
wmmc02,3,CAND_M23930,,,l@9800?onsky,,1,,,1,0,7.06,,9800,23,,ccand,,,,,1444,SPAT1444-SLIT1444-DET01,3,150.08796,2.27956,1444,0.5,1,0.5,0.01,TRUE
wmmc02,5,CAND_B24107,,,"nl,nc",,1,,0,0,-1,,,,,,ccand,,,,,1368,SPAT1369-SLIT1368-DET01,5,150.10808,2.28041,1369,0.536,1,0.5,-0.28,TRUE
wmmc02,7,CAND_L22252,,,"nl,nc",,1,,0,0,-1,,,,,,ccand,,,,,1281,SPAT1278-SLIT1281-DET01,7,150.09762,2.27153,1278,0.44,1,0.5,-0.19,TRUE
wmmc02,8,CAND_L21865,,,"fc,l@10546?11101?",,1,,,1,0,7.67,,10546,42,,ccand,,,,,1222,SPAT1222-SLIT1222-DET01,8,150.10558,2.26934,1222,0.51,1,0.5,0.28,TRUE
wmmc02,10,CAND_B20710,,,l@10369?,,1,,,0,0,7.52,,10369,29,,ccand,,,,,1124,SPAT1116-SLIT1124-DET01,10,150.11129,2.26311,1116,0.34,1,0.5,-0.11,TRUE
wmmc02,11,CAND_L19310,,,fc?,,1,,0,0,-1,,,,,,ccand,,,,,1075,SPAT1075-SLIT1075-DET01,11,150.08958,2.25481,1075,0.5,1,0.5,0.26,TRUE
wmmc02,13,CAND_M17668,,,"nl,nc",,1,,0,0,-1,,,,,,ccand,,,,,990,SPAT0988-SLIT0990-DET01,13,150.07908,2.24611,988,0.469,1,0.5,0.14,TRUE
wmmc02,14,CAND_M18855,,1360,l@9867,,1,,,2,1,7.12,7.12,9867,48,,ccand,,,,,931,SPAT0933-SLIT0931-DET01,14,150.11833,2.25226,933,0.542,1,0.5,0,TRUE
wmmc02,15,CAND_L17994,,,"nl,nc",,1,,0,0,-1,,,,,,ccand,,,,,883,SPAT0882-SLIT0883-DET01,15,150.11504,2.24769,882,0.464,1,0.5,-0.02,TRUE
wmmc02,18,CAND_M16351,,,l@10390?,,1,,0,0,-1,7.54,,,,,ccand,,,,,748,SPAT0749-SLIT0748-DET01,18,150.12058,2.24019,749,0.556,1,0.5,-0.02,TRUE
wmmc02,20,CAND_B12614,,,"nl,nc",,1,,0,0,-1,,,,,,ccand,,,,,672,SPAT0673-SLIT0672-DET01,20,150.07542,2.2237,673,0.536,1,0.5,0,TRUE
wmmc02,23,CAND_M13312,,,l@11180,,1,,,1,1,8.19,,11180,49,,ccand,,,,,548,SPAT0556-SLIT0548-DET01,23,150.11425,2.22654,556,0.653,1,0.5,0,TRUE
wmmc02,26,CAND_L12084,,617,"l@10065?,l@10259?",,1,,,1,-1,7.43,,10259,26,,ccand,,,,,426,SPAT0426-SLIT0426-DET01,26,150.12762,2.22132,426,0.519,1,0.5,0.1,TRUE
wmmc02,27,B_WP143124,143124,,"nl,nc",,1,,0,0,-1,,,,,,c2020,,,,,377,SPAT0380-SLIT0377-DET01,27,150.12446,2.21732,380,0.56,1,0.5,0.07,TRUE
wmmc02,28,CAND_B9030,,,l@10562?,,1,,,1,0,7.68,,10562,27,,ccand,,,,,328,SPAT0328-SLIT0328-DET01,28,150.10329,2.20796,328,0.5,1,0.5,0.04,TRUE
wmmc02,30,CAND_M9262,,332,l@10479?INCONSISTENT,,1,,0,1,-1,7.62,,10479,35,,ccand,,,,,242,SPAT0239-SLIT0242-DET01,30,150.13075,2.20911,239,0.429,1,0.5,-0.12,TRUE
wmmc02,31,L_WP852172,852172,,"nl,nc",,1,,0,0,-1,,,,,,c2020,,,,,183,SPAT0186-SLIT0183-DET01,31,150.12383,2.20338,186,0.56,1,0.5,0.12,TRUE
wmmc02,33,CAND_L7150,,127,l@10489?,,1,,,1,-1,7.63,,10489,24,,ccand,,,,,96,SPAT0098-SLIT0096-DET01,33,150.13208,2.19966,98,0.556,1,0.5,0.21,TRUE
wmmc02,34,CAND_B6542,,,"nl,nc",,1,,0,0,-1,,,,,,ccand,,,,,60,SPAT0060-SLIT0060-DET01,34,150.13125,2.19698,60.4,0.513,3,0.666,3.08,FALSE
