obj	ra_deg	dec_deg	alma_position
SSA.0001	334.3850292	0.2955	1
SSA.0002	334.2317792	0.479472222	1
SSA.0003	334.2498497	0.17787932	0
SSA.0004	334.2134875	0.30575	1
SSA.0005	334.3287375	0.30176828	0
SSA.0006	334.5275417	0.089055556	1
SSA.0007	334.40425	0.306277778	1
SSA.0008	334.5269167	0.192916667	1
SSA.0009	334.3913625	0.231111111	1
SSA.0010	334.2546125	0.558722222	1
SSA.0011	334.6161667	0.426777778	1
SSA.0012	334.4301667	0.208861111	1
SSA.0013	334.2387792	0.323333333	1
SSA.0014	334.5635708	0.332472222	1
SSA.0015	334.2174458	0.228416667	1
SSA.0016	334.5257792	0.067083333	1
SSA.0017	334.4335125	0.139388889	1
SSA.0018	334.3679708	0.340611111	1
SSA.0019	334.4260708	0.283972222	1
SSA.0020	334.6133333	0.325361111	1
SSA.0021	334.4222792	0.444861111	1
SSA.0022	334.5983875	0.442527778	1
SSA.0023	334.5716958	0.492416667	1
SSA.0024	334.543184	0.26621217	0
SSA.0025	334.289625	0.235805556	1
SSA.0026	334.5563042	0.342	1
SSA.0027	334.1341667	0.296222222	1
SSA.0028	334.2085958	0.380111111	1
SSA.0029	334.6124875	0.360111111	1
SSA.0030	334.63775	0.311722222	1
SSA.0031	334.3226375	0.527055556	1
SSA.0032	334.3846125	0.491861111	1
SSA.0033	334.2646667	0.434361111	1
SSA.0034	334.2594458	0.264972222	1
SSA.0035	334.528	0.108583333	1
SSA.0036	334.3831827	0.25010188	0
SSA.0037	334.6210708	0.143055556	1
SSA.0038	334.2622792	0.410888889	1
SSA.0041	334.6458042	0.361833333	1
